City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,parnu-jaagupi,58.6105,24.5069,-4.6,96,99,1.36,EE,1678138732
292,salekhard,66.53,66.6019,-30.34,96,27,1.84,RU,1678138733
293,bermeo,43.4209,-2.7215,9.83,82,85,3.95,ES,1678138733
294,genhe,50.7833,121.5167,-12.9,96,100,1.09,CN,1678138733
295,taos,36.4072,-105.5731,13.22,12,0,6.69,US,1678138466
296,saint anthony,45.0205,-93.218,3.14,81,100,7.2,US,1678138734
297,kaka,37.3482,59.6143,19.92,23,85,3.74,TM,1678138734
298,krasnorechenskiy,44.6265,135.3532,-4.93,96,17,1.77,RU,1678138734
299,marienburg,54.0359,19.0266,-2.29,85,91,2.48,PL,1678138734
300,port keats,-14.25,129.55,27.3,85,93,4.41,AU,1678138735
301,beringovskiy,63.05,179.3167,-23.25,78,22,2.38,RU,1678138734
302,gelemso,8.8167,40.5167,17.17,43,33,1.19,ET,1678138735
303,kieta,-6.2167,155.6333,28.26,72,84,0.52,PG,1678138735
304,puerto del rosario,28.5004,-13.8627,18.86,77,0,3.09,ES,1678138736
305,lucapa,-8.4192,20.7447,20.75,86,64,0.35,AO,1678138736
306,humberto de campos,-2.5983,-43.4611,25.1,90,98,2.67,BR,1678138736
307,sheltozero,61.3667,35.3667,-10.66,99,99,1.97,RU,1678138737
308,bonavista,48.6499,-53.1147,-3.19,94,92,3.52,CA,1678138737
309,yar-sale,66.8333,70.8333,-20.82,93,100,4.88,RU,1678138737
310,pandhana,21.7,76.2167,25.71,28,100,2.87,IN,1678138737
311,aasiaat,68.7098,-52.8699,-11.24,96,17,0.75,GL,1678138738
312,shimoda,34.6667,138.95,6.72,68,0,2.79,JP,1678138738
313,ulladulla,-35.35,150.4667,23.52,38,28,3.58,AU,1678138738
314,mildura,-34.2,142.15,13.37,74,0,6.92,AU,1678138739
315,saint george,37.1041,-113.5841,11.81,39,75,4.63,US,1678138524
316,bocas del toro,9.3333,-82.25,26.85,72,100,3.58,PA,1678138739
317,tautira,-17.7333,-149.15,25.79,77,100,7.49,PF,1678138739
318,biak,-0.9131,122.8766,24.65,79,100,1.26,ID,1678138740
319,lesnyye polyany,55.9667,37.8667,-4.36,97,65,2.39,RU,1678138740
320,vila velha,-20.3297,-40.2925,27.19,84,20,7.2,BR,1678138740
321,ahipara,-35.1667,173.1667,20.74,67,8,0.18,NZ,1678138740
322,dmitriyevka,54.75,55.3333,-5.25,96,100,2.95,RU,1678138741
323,meihekou,42.5272,125.6753,1.77,85,19,3.23,CN,1678138741
324,nouadhibou,20.931,-17.0347,22.99,53,3,5.66,MR,1678138721
325,claveria,18.6074,121.0832,19.34,80,39,5.61,PH,1678138741
326,mnogovershinnyy,53.9353,139.9242,-10.99,92,100,1.51,RU,1678138451
327,san quintin,30.4833,-115.95,15.11,61,100,8.95,MX,1678138742
328,guarapari,-20.6667,-40.4975,27.16,85,100,6.24,BR,1678138742
329,okha,53.5739,142.9478,-16.14,99,100,2.2,RU,1678138743
330,kamina,-8.7386,24.9906,18.36,95,100,0.45,CD,1678138743
331,rio verde de mato grosso,-18.9181,-54.8442,26.53,79,25,1.87,BR,1678138625
332,henties bay,-22.116,14.2845,17.06,88,50,3.95,NA,1678138744
333,alihe,50.5667,123.7167,-11.4,95,100,0.77,CN,1678138744
334,aguimes,27.9054,-15.4461,17.35,77,20,1.03,ES,1678138745
335,yerbogachen,61.2767,108.0108,-31.24,100,100,1.31,RU,1678138745
336,gallup,35.5281,-108.7426,13.91,16,0,10.8,US,1678138745
337,san carlos,9.6612,-68.5827,32.67,39,99,2.42,VE,1678138549
338,lugovoy,42.9472,72.7644,8.84,52,54,3.98,KZ,1678138746
339,svetlogorsk,52.6333,29.7333,-1.9,69,67,3.22,BY,1678138746
340,bambanglipuro,-7.95,110.2833,23.72,90,45,1.7,ID,1678138746
341,quatre cocos,-20.2078,57.7625,25.06,85,98,1.08,MU,1678138747
342,leningradskiy,69.3833,178.4167,-32.0,96,11,1.62,RU,1678138747
343,kupang,-10.1667,123.5833,23.32,100,20,0.51,ID,1678138747
344,havelock,34.8791,-76.9013,19.98,44,40,3.6,US,1678138455
345,daru,-9.0763,143.2092,25.38,86,61,4.96,PG,1678138748
346,gasa,31.5,34.4667,15.19,66,29,3.68,PS,1678138748
347,juba,4.8517,31.5825,29.52,28,8,1.05,SS,1678138749
348,yulara,-25.2406,130.9889,20.4,32,0,4.68,AU,1678138749
349,tarpon springs,28.1461,-82.7568,28.94,73,0,6.17,US,1678138587
350,victor harbor,-35.5667,138.6167,14.27,59,95,6.97,AU,1678138749
351,aljezur,37.3191,-8.8033,13.43,93,100,3.22,PT,1678138750
352,santa rosa,14.3122,121.1114,22.99,83,0,3.68,PH,1678138750
353,great yarmouth,52.6083,1.7305,4.69,90,100,4.83,GB,1678138750
354,touros,-5.1989,-35.4608,26.67,77,99,6.13,BR,1678138751
355,port-gentil,-0.7193,8.7815,26.98,83,40,2.06,GA,1678138751
356,sidi ali,36.0998,0.4206,12.08,87,99,3.45,DZ,1678138751
357,chengde,40.9725,117.9361,4.46,36,0,0.78,CN,1678138753
358,koslan,63.4564,48.8989,-14.74,97,99,2.56,RU,1678138753
359,nazarovo,56.0064,90.3914,-3.31,79,100,6.73,RU,1678138511
360,nuuk,64.1835,-51.7216,4.34,45,20,2.06,GL,1678138598
361,kimberley,-28.7323,24.7623,19.83,56,2,3.09,ZA,1678138754
